,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
120,B1-REF,1,1,uclust,0.76:0.8:5,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
121,B1-REF,1,1,uclust,0.76:0.9:1,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
122,B1-REF,1,1,uclust,0.76:0.9:3,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
123,B1-REF,1,1,uclust,0.76:0.9:5,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
124,B1-REF,1,1,uclust,1.0:0.8:1,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
125,B1-REF,1,1,uclust,1.0:0.8:3,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
126,B1-REF,1,1,uclust,1.0:0.8:5,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
127,B1-REF,1,1,uclust,1.0:0.9:1,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
128,B1-REF,1,1,uclust,1.0:0.9:3,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
129,B1-REF,1,1,uclust,1.0:0.9:5,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
130,B1-REF,1,2,rdp,0.0,0.0,1.0,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
131,B1-REF,1,2,rdp,0.1,0.0,1.0,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
132,B1-REF,1,2,rdp,0.2,0.42857142857142855,0.5714285714285714,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
133,B1-REF,1,2,rdp,0.3,0.2857142857142857,0.7142857142857143,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
134,B1-REF,1,2,rdp,0.4,0.42857142857142855,0.5714285714285714,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
135,B1-REF,1,2,rdp,0.5,0.42857142857142855,0.5714285714285714,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
136,B1-REF,1,2,rdp,0.6,0.7142857142857143,0.2857142857142857,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
